itemcode,item,in blocks,metrics,price per unit,currency,fees,volume from,volume to
*,Cloud - Applications,,,,,,,
**,Cloud - Business Transformation Management,,,,,,,
8015511,"SAP Access Control Cloud, extra stack, private cloud edition",100,Resource,956,USD,Month,151,500
8015511,"SAP Access Control Cloud, extra stack, private cloud edition",100,Resource,596,USD,Month,501,1000
8015511,"SAP Access Control Cloud, extra stack, private cloud edition",100,Resource,499,USD,Month,1001,Infinite
8016016,SAP Entitlement Management,"50,000",Record,"3,138.00",USD,Month,1,20
8016016,SAP Entitlement Management,"50,000",Record,"2,509.00",USD,Month,21,50
8016016,SAP Entitlement Management,"50,000",Record,"1,883.00",USD,Month,51,120
8016016,SAP Entitlement Management,"50,000",Record,"1,253.00",USD,Month,121,300
8016016,SAP Entitlement Management,"50,000",Record,657,USD,Month,301,900
8016016,SAP Entitlement Management,"50,000",Record,255,USD,Month,901,4000
8016592,SAP Account Substantiation and Automation by BlackLine,1,User,867,USD,Month,1,5
8016592,SAP Account Substantiation and Automation by BlackLine,1,User,765,USD,Month,6,10
8016592,SAP Account Substantiation and Automation by BlackLine,1,User,714,USD,Month,11,15
8016592,SAP Account Substantiation and Automation by BlackLine,1,User,663,USD,Month,16,20
8016592,SAP Account Substantiation and Automation by BlackLine,1,User,638,USD,Month,21,30
8016592,SAP Account Substantiation and Automation by BlackLine,1,User,618,USD,Month,31,50
8016592,SAP Account Substantiation and Automation by BlackLine,1,User,597,USD,Month,51,100
8016592,SAP Account Substantiation and Automation by BlackLine,1,User,574,USD,Month,101,200
8016592,SAP Account Substantiation and Automation by BlackLine,1,User,551,USD,Month,201,500
8016592,SAP Account Substantiation and Automation by BlackLine,1,User,482,USD,Month,501,Infinite
8017274,"SAP Intercompany Governance by BlackLine, origination option",1,Object,580,USD,Month,1,100
8017274,"SAP Intercompany Governance by BlackLine, origination option",1,Object,470,USD,Month,101,250
8017274,"SAP Intercompany Governance by BlackLine, origination option",1,Object,350,USD,Month,251,500
8017274,"SAP Intercompany Governance by BlackLine, origination option",1,Object,310,USD,Month,501,Infinite
8017291,"SAP Intercompany Governance by BlackLine, account settlement option",1,Object,580,USD,Month,1,100
8017291,"SAP Intercompany Governance by BlackLine, account settlement option",1,Object,470,USD,Month,101,250
8017291,"SAP Intercompany Governance by BlackLine, account settlement option",1,Object,350,USD,Month,251,500
8017291,"SAP Intercompany Governance by BlackLine, account settlement option",1,Object,310,USD,Month,501,Infinite
8017891,SAP Intelligent Product Recommendation,"1,00,000",API Call,"1,167.00",USD,Month,1,10
8017891,SAP Intelligent Product Recommendation,"1,00,000",API Call,934,USD,Month,11,20
8017891,SAP Intelligent Product Recommendation,"1,00,000",API Call,701,USD,Month,21,35
8017891,SAP Intelligent Product Recommendation,"1,00,000",API Call,532,USD,Month,36,Infinite
8018145,"SAP Account Substantiation and Automation by BlackLine, financial review option",25,Object,"6,485.00",USD,Month,1,4
8018145,"SAP Account Substantiation and Automation by BlackLine, financial review option",25,Object,"5,370.00",USD,Month,5,9
